Date,Open,High,Low,Close,Adj Close,Volume
2016-10-10,28.754999,29.187500,28.680000,29.012501,27.249866,144944000
2016-10-11,29.424999,29.672501,29.049999,29.075001,27.308571,256164000
2016-10-12,29.337500,29.495001,29.187500,29.334999,27.552769,150347200
2016-10-13,29.197500,29.360001,28.930000,29.245001,27.468241,140769600
2016-10-14,29.469999,29.542500,29.282499,29.407499,27.620863,142608800
2016-10-17,29.332500,29.459999,29.195000,29.387501,27.602079,94499600
2016-10-18,29.545000,29.552500,29.362499,29.367500,27.583296,98214000
2016-10-19,29.312500,29.440001,28.450001,29.280001,27.501110,80138400
2016-10-20,29.215000,29.344999,29.082500,29.264999,27.487022,96503200
2016-10-21,29.202499,29.227501,29.070000,29.150000,27.379011,92770800
2016-10-24,29.275000,29.434999,29.250000,29.412500,27.625566,94154800
2016-10-25,29.487499,29.590000,29.327499,29.562500,27.766449,192516000
2016-10-26,28.577499,28.924999,28.327499,28.897499,27.141850,264536800
2016-10-27,28.847500,28.965000,28.525000,28.620001,26.881210,138248000
2016-10-28,28.467501,28.802500,28.362499,28.430000,26.702751,151446800
2016-10-31,28.412500,28.557501,28.299999,28.385000,26.660484,105677600
2016-11-01,28.365000,28.442499,27.632500,27.872499,26.179125,175303200
2016-11-02,27.850000,28.087500,27.807501,27.897499,26.202606,113326800
2016-11-03,27.745001,27.865000,27.387501,27.457500,25.921747,107730400
2016-11-04,27.132500,27.562500,27.027500,27.209999,25.688087,123348000
2016-11-07,27.520000,27.627501,27.365000,27.602501,26.058634,130240000
2016-11-08,27.577499,27.930000,27.424999,27.764999,26.212044,97016800
2016-11-09,27.469999,27.830000,27.012501,27.719999,26.169559,236705600
2016-11-10,27.772499,27.772499,26.457500,26.947500,25.440268,228538000
2016-11-11,26.780001,27.217501,26.637501,27.107500,25.591320,136575600
2016-11-14,26.927500,26.952499,26.020000,26.427500,24.949354,204702000
2016-11-15,26.642500,26.920000,26.540001,26.777500,25.279776,129058000
2016-11-16,26.674999,27.557501,26.650000,27.497499,25.959503,235362000
2016-11-17,27.452499,27.587500,27.207500,27.487499,25.950066,110528000
2016-11-18,27.430000,27.635000,27.415001,27.514999,25.976027,113715600
2016-11-21,27.530001,27.997499,27.502501,27.932501,26.370180,117058400
2016-11-22,27.987499,28.105000,27.850000,27.950001,26.386698,103862000
2016-11-23,27.840000,27.877501,27.582500,27.807501,26.252167,109705600
2016-11-25,27.782499,27.967501,27.737499,27.947500,26.384338,45903600
2016-11-28,27.857500,28.117500,27.847500,27.892500,26.332415,108776000
2016-11-29,27.695000,28.007500,27.517500,27.865000,26.306452,114115200
2016-11-30,27.900000,28.049999,27.567499,27.629999,26.084597,144649200
2016-12-01,27.592501,27.735001,27.257500,27.372499,25.841503,148347600
2016-12-02,27.292500,27.522499,27.212500,27.475000,25.938267,106112000
2016-12-05,27.500000,27.507500,27.062500,27.277500,25.751810,137298000
2016-12-06,27.375000,27.590000,27.297501,27.487499,25.950066,104782000
2016-12-07,27.315001,27.797501,27.290001,27.757500,26.204964,119994800
2016-12-08,27.715000,28.107500,27.650000,28.030001,26.462227,108273200
2016-12-09,28.077499,28.674999,28.077499,28.487499,26.894136,137610400
2016-12-12,28.322500,28.750000,28.122499,28.325001,26.740721,105497600
2016-12-13,28.459999,28.980000,28.437500,28.797501,27.186798,174935200
2016-12-14,28.760000,29.049999,28.745001,28.797501,27.186798,136127200
2016-12-15,28.844999,29.182501,28.807501,28.955000,27.335484,186098000
2016-12-16,29.117500,29.125000,28.912500,28.992500,27.370890,177404400
2016-12-19,28.950001,29.344999,28.937500,29.160000,27.529018,111117600
2016-12-20,29.184999,29.375000,29.170000,29.237499,27.602188,85700000
2016-12-21,29.200001,29.350000,29.195000,29.264999,27.628145,95132800
2016-12-22,29.087500,29.127501,28.910000,29.072500,27.446415,104343600
2016-12-23,28.897499,29.129999,28.897499,29.129999,27.500698,56998000
2016-12-27,29.129999,29.450001,29.122499,29.315001,27.675356,73187600
2016-12-28,29.379999,29.504999,29.049999,29.190001,27.557346,83623600
2016-12-29,29.112499,29.277500,29.100000,29.182501,27.550264,60158000
2016-12-30,29.162500,29.299999,28.857500,28.955000,27.335484,122345200
2017-01-03,28.950001,29.082500,28.690001,29.037500,27.413372,115127600
2017-01-04,28.962500,29.127501,28.937500,29.004999,27.382690,84472400
2017-01-05,28.980000,29.215000,28.952499,29.152500,27.521944,88774400
2017-01-06,29.195000,29.540001,29.117500,29.477501,27.828764,127007600
